GPS,GAP INC COM,12.31,+.17,+1.40%,"29,915,847",12.25,12.40,12.82,11.16,.93,"4,587 M",101.59%
DGLY,DIGITAL ALLY INC COM,2.54,+.47,+22.71%,"29,573,903",2.74,2.75,2.95,1.85,-.75,57 M,388.45%
HEXO,HEXO CORP COM,.8074,+.0774,+10.60%,"28,910,125",.8050,.8200,.8300,.7333,-1.264,329 M,250.49%
WPG,WASHINGTON PRIME GROUP INC COM,1.10,+.2769,+33.64%,"28,383,224",1.12,1.18,1.23,.86005,0,206 M,226.30%
HAL,HALLIBURTON CO COM,14.52,+1.33,+10.08%,"27,776,869",14.53,14.60,15.01,14.21,-2.62,"12,738 M",73.81%
NLY,ANNALY CAPITAL MANAGEMENT INC COM,6.82,+.14,+2.10%,"27,770,271",6.83,6.96,7.30,6.78,-3.54,"9,755 M",55.29%
HST,HOST HOTELS & RESORTS INC COM,14.01,+.95,+7.27%,"27,611,363",12.50,15.00,14.635,13.855,1.006,"9,876 M",56.78%
IDEX,IDEANOMICS INC COM,.4701,+.0901,+23.71%,"27,124,104",.5500,.5600,.5200,.3819,-1.09,79 M,509.35%
NYMT,NEW YORK MORTGAGE TRUST INC COM,2.86,+.165,+6.12%,"27,064,096",3.05,3.06,3.44,2.81,-1.28,"1,080 M",158.22%
BIOL,BIOLASE INC COM,.7389,+.2189,+42.10%,"26,013,369",.7199,.7200,.8200,.4600,-.73,29 M,<empty>
BBBY,BED BATH AND BEYOND COM,9.32,+.59,+6.76%,"26,006,705",9.28,9.43,10.18,8.74,-4.94,"1,179 M",153.79%
GRPN,GROUPON INC COM,1.51,+.23,+17.97%,"25,646,102",1.51,1.53,1.58,1.31,-.04,858 M,162.07%
CIDM,CINEDIGM CORPORATION COM,2.74,-.89,-24.52%,"24,845,708",2.63,2.65,2.99,2.31,-.43,281 M,<empty>
BBD,BANCO BRADESCO SA ADR SPONSORED,4.50,+.24,+5.63%,"24,705,200",4.34,4.55,4.685,4.43,.5625,"39,760 M",91.28%
PLUG,PLUG POWER INC COM,4.88,-.12,-2.40%,"24,537,110",4.88,4.91,5.10,4.75,-.34,"1,583 M",87.80%
BORR,BORR DRILLING LIMITED COM,1.1600,+.4697,+68.04%,"24,310,416",1.1900,1.2200,1.3500,.8611,-3.14,129 M,<empty>
KEY,KEYCORP COM,14.56,+1.03,+7.61%,"24,089,401",14.50,14.67,15.32,14.37,1.36,"14,202 M",60.24%
UGAZ,CREDIT SUISSE NASSAU TRACKER ZERT (S&P GSCI NATURA),13.75,-.60,-4.18%,"22,559,679",13.82,13.87,14.95,13.28,<empty>,0,<empty>
MARK,REMARK HOLDINGS INC COM,2.57,-.43,-14.33%,"22,172,250",2.62,2.63,2.88,2.50,-.58,255 M,264.20%
CJJD,CHINA JO-JO DRUGSTORES INC COM,1.66,+.26,+18.57%,"21,731,420",1.71,1.72,1.78,1.37,.02,63 M,<empty>
GTE,GRAN TIERRA ENERGY INC COM,.4627,+.1153,+33.19%,"21,706,640",.5100,.5300,.4627,.3714,-.6,170 M,<empty>
CHAP,CHAPARRAL ENERGY INC COM CL A,.970,+.4539,+87.95%,"21,525,701",.819,.860,1.0500,.5500,-7.89,46 M,++
